Titel,Artikel,Datum,,
Wassenaar: Vrouw omgekomen bij eenzijdig ongeval,"Wassenaar: Vrouw omgekomen bij eenzijdig ongeval 
	  Woensdagmiddag rond half drie is een vrouw om het leven gekomen bij een éénzijdig ongeval op de kruising Stoeplaan - Groen van Prinsterenlaan. De vrouw is met haar auto op een boom geknald, waarna ooggetuigen de hulpdiensten alarmeerden. Helaas mocht de hulp van de toegesnelde ambulances en brandweer niet meer baten. De oorzaak van het ongeval is niet bekend, maar het wordt niet uitgesloten dat de vrouw onwel is geworden achter het stuur. De vrouw die woensdagmiddag in Wassenaar om het leven is gekomen toen zij tegen een verkeerspaal reed, is een 84-jarige inwoonster van Wassenaar. Het slachtoffer is waarschijnlijk onwel geworden op de kruising Stoeplaan met de Groen van Prinstererlaan, waardoor ze tegen de paal reed. Reanimatie mocht niet meer baten. Haar familie is opgevangen op het politiebureau",2008-12-24,,
Voorburg: Slachtoffer aanrijding overleden ,"Voorburg: Slachtoffer aanrijding overleden  
	  De 20-jarige Voorburger die woensdag zwaargewond raakte bij een ongeluk is aan zijn verwondingen bezweken. De 26-jarige man uit Voorburg die ervan wordt verdacht de aanrijding te hebben veroorzaakt meldde zich donderdagochtend op het politiebureau en is aangehouden. De vermoedelijke dader was na het ongeluk doorgereden. Het slachtoffer fietste op de Laan van Nieuw Oosteinde in Voorburg toen hij door een auto werd geschept. Deze kwam met hoge snelheid aan rijden en zou ook over de busstrook hebben gereden en rechts hebben ingehaald. De fietser werd door de klap tientallen meters door de lucht geslingerd en in kritieke toestand naar een ziekenhuis gebracht. In een lantaarnpaal werd op zes meter hoogte een afdruk van de fiets gevonden. Van de verdachte is bloed afgenomen om vast te stellen of hij voor het ongeluk drank of drugs had gebruikt. De uitslag is nog niet bekend. De bestuurder meldde zich nadat zijn auto was gevonden. Hij wordt over drie dagen voorgeleid aan de rechter-commissaris.		",2011-03-09,,
Werkendam: Scootterrijder dood na botsing met vrachtwagen,"Werkendam: Scootterrijder dood na botsing met vrachtwagen 
	  Een 51-jarige man uit het Brabantse Werkendam is donderdag om het leven gekomen toen hij met zijn scooter tegen een afgekoppelde aanhanger van een vrachtwagen botste. Dat meldt de politie. Het ongeluk gebeurde omstreeks 06.00 uur op de Grotewaardweg. Hoe het ongeluk heeft kunnen gebeuren is onduidelijk. De man werd zwaargewond naar een ziekenhuis gebracht en overleed enkele uren later aan zijn verwondingen. De politie heeft een onderzoek ingesteld.		",2011-08-25,,
Mierlo: Dodelijk slachtoffer aanrijding Mierlo is 33-jarige man,"
	  De fietser die vrijdagavond om het leven kwam na een aanrijding met een auto in Mierlo was een 33-jarige Mierlonaar. De aanrijding vond iets voor acht uur plaats op de kruising van Santheuvel-Oost en de Meester Van Busselstraat. De gewaarschuwde hulpdiensten konden het slachtoffer niet meer redden. De auto werd bestuurd door een 23-jarige man. Ook hij komt uit Mierlo. De politie onderzoekt hoe het ongeluk kon gebeuren.",2017-12-01,,
Volkel - N605: Dodelijk ongeval,"
	  Op de N605 in Volkel is dinsdagochtend een 87-jarige vrouw uit Volkel om het leven gekomen toen haar personenauto onder een vrachtwagen terechtkwam. Dat heeft de politie gemeld. Het slachtoffer draaide vanaf de Zeelandsedijk linksaf de N605 op, maar zag een vrachtwagen uit de richting Boekel over het hoofd. Het slachtoffer overleed ter plekke. De chauffeur van de vrachtwagen bleef ongedeerd.		",2009-06-09,,
Bergen op Zoom: Dode na ongeluk,"
	  In Bergen op Zoom is woensdagochtend een automobilist onwel geworden en daarna overleden. De auto reed daarna tegen een auto die geparkeerd stond op een oprit aan de Halsterseweg. 		",2011-02-02,,
Wekerom - N801: Verkeersongeval met dodelijke afloop,"
	  Bij een verkeersongeval op de Otterloseweg in Wekerom, is op zaterdag 26 april rond 14.20 uur een man om het leven gekomen. Het blijkt te gaan om een 87-jarige man uit Kootwijkerbroek. De man reed in zijn auto en verloor door onbekende oorzaak de controle over het stuur waarop hij in een droogstaande sloot naast de weg terecht kwam. De toedracht wordt nog onderzocht; daartoe is de weg voor korte tijd afgesloten.",2014-04-26,,
Hoevelaken: Motorrijder verongelukt,"Hoevelaken: Motorrijder verongelukt 
	  AMERSFOORT – Op het knooppunt Hoevelaken is zondagmiddag een 38-jarige motorrijder uit Nijkerk dodelijk verongelukt. Het slachtoffer ging omstreeks 16.30 uur onderuit in een bocht bij de afrit Apeldoorn van de A28. Hij belandde in de berm. Andere weggebruikers zagen de man liggen en verleenden eerste hulp. Toen de politie ter plaatse kwam, troffen de agenten de man aan naast zijn motor, die tegen een boom lag. Op dat moment was hij nog aanspreekbaar. De afrit werd afgesloten en een traumahelikopter kwam ter plaatse om assistentie te verlenen. Het slachtoffer werd met spoed per ambulance naar het UMC vervoerd. Daar overleed hij omstreeks 19.00 uur aan zijn verwondingen. De politie stelt vandaag een technisch onderzoek in.",2007-03-11,,
Oldeholtpade: Dode bij verkeersongeval Friesland,"Oldeholtpade: Dode bij verkeersongeval Friesland 
	  Bij een eenzijdig verkeersongeval zondagochtend bij het Friese dorpje Oldeholtpade is een 34-jarige automobilist uit Oosterwolde om het leven gekomen. Dat meldde de politie zondagmiddag. De bestuurder reed vanuit Wolvega op de N351 toen hij door onbekende oorzaak in de berm raakte en tegen een boom botste. De man was op slag dood. 		",2007-08-12,,
Winterswijk: Vrouw (73) dood na ongeval ,"
	  Een 73-jarige vrouw uit Winterswijk is overleden aan de gevolgen van een aanrijding in haar woonplaats. Ze kwam op de fiets in botsing met een vrachtwagen. Dat meldt de politie. De aanrijding vond op de Groenloseweg. De vrouw werd in kritieke toestand naar het ziekenhuis overgebracht. Het slachtoffer overleed later aan haar verwondingen. De 47-jarige vrachtwagenchauffeur uit Doetinchem zou de aanrijding hebben proberen te voorkomen. De politie vraagt getuigen zich te melden. 		",2010-01-12,,
61-jarige fietser overleden in Goor,"61-jarige fietser overleden in Goor 
	  GOOR - Maandag 6 september is een 61 jarige man uit Diepenheim overleden aan de gevolgen van een aanrijding de zaterdag ervoor. De fietser reed over de Kerkstraat in Goor, waar hij werd aangereden door een 80-jarige automobilist met caravan. De fietser kwam ten val, de automobilist reed in eerste instantie verder, maar werd door getuigen achterhaald. De man verklaarde niets door te hebben gehad. Fietser zwaar gewond bij aanrijding . Een 61-jarige man uit Diepenheim is zaterdagmiddag ernstig gewond geraakt bij een botsing met een caravan op de Kerkstraat in Goor. De Diepenheimer werd op zijn fiets aangereden door de caravan van een 80-jarige automobilist uit Bussum. Hij kwam ten val toen de Bussumer hem wilde passeren. De automobilist heeft zelf niets van de aanrijding gemerkt, maar werd gewaarschuwd door getuigen van het ongeval. De Diepenheimer is met zware verwondingen naar het ziekenhuis gebracht.		",2004-06-04,,
Bromfietser komt om in Bant,"Bromfietser komt om in Bant  - Een 17-jarige bromfietser uit Noordoostpolder is zondagmorgen bij een eenzijdig verkeersongeval op de Banterweg om het leven gekomen. Het slachtoffer werd zondagmiddag in de berm van de weg gevonden door passanten. Vermoedelijk heeft het ongeval al in de vroege ochtenuren plaatsgevonden. Het slachtoffer is, vermoedelijk met hoge snelheid, in de berm terecht gekomen en daar met volle snelheid tegen een boom gereden. Het slachtoffer is waarschijnlijk op slag overleden.		",2003-07-07,,
Hattem: Vrouw (92) rijdt motorrijder (46) dood,"
	  Een 46-jarige motorrijder is woensdag door een verkeersongeval in Hattum om het leven gekomen. Het ongeluk gebeurde rond 19.00 uur, meldde de politie. Het slachtoffer, een man uit Zwolle, reed op een voorrangsweg toen hij werd geschept door een auto. Volgens de politie had deze 92-jarige automobilist de motorrijder voorrang moeten geven, maar zag hij hem over het hoofd.		",2006-10-25,,
Motorrijder komt om bij valpartij in Venray,Motorrijder komt om bij valpartij in Venray  - Bij een verkeerongeluk in Venray is vrijdagmiddag een 22-jarige motorrijder uit het Brabantse Rijkevoort om het leven gekomen.  Het slachtoffer reed over de Beekweg en kwam daar door nog onbekende oorzaak te val. De man overleed ter plaatse.,,,2003-03-14
Gulpen: Dode gevonden in rivier,"
	  In de rivier De Gulp in het Limburgse Gulpen heeft de politie vrijdagochtend een lichaam gevonden. Het stoffelijk overschot werd gevonden bij In Het Diepe Broek. De vondst werd rond 08.00 uur gedaan. Het is nog niet duidelijk hoe het lichaam in het water belandde, maar een misdrijf wordt vooralsnog door de politie uitgesloten. Er is wel een onderzoek naar het voorval gestart. Politie.nl schreef: Man door ongeval om het leven gekomen Het lichaam dat vrijdagochtend in het riviertje de Gulp is aangetroffen, blijkt van een 80-jarige man uit Gulpen te zijn. Uit onderzoek is gebleken dat de man niet door een misdrijf om het leven is gekomen. De man is bij zijn ochtendwandeling in het riviertje terechtgekomen, waarbij hij kwam te overlijden. Zijn familie is door de politie in kennis gesteld.",2016-10-07,,
Wapserveen - N353: Dodelijk slachtoffer ongeluk is vrouw (27) uit Heerenveen,"
	  De automobiliste die gisteren is omgekomen bij een auto-ongeluk bij Wapserveen, is een vrouw uit Heerenveen. Ze was 27 jaar, meldt de politie Drenthe. Het ongeluk gebeurde op de Van Helomaweg. Door een nog onbekende oorzaak reed de vrouw tegen een boom aan. Kort na het ongeluk overleed ze. Nieuws-112.nl schreef: Dodelijk ongeval op de van Helomaweg in Havelte Op de van Helomaweg in Havelte heeft vanavond even voor zeven uur een ernstig ongeval plaatsgevonden. Hierbij is een persoon om het leven gekomen. Door nog onbekende oorzaak raakte de bestuurster de macht over het stuur kwijt waarna zij tegen een boom tot stilstand kwam. Hulpdiensten waren snel ter plaatse maar hulp mocht niet meer baten. De VOA stelt een onderzoek in naar de toedracht van het ongeval. De van Helomaweg is afgesloten voor al het verkeer gedurende het onderzoek.",2018-03-13,,
Denekamp: Bejaarde vrouw overleden na val met elektrische fiets,"Denekamp: Bejaarde vrouw overleden na val met elektrische fiets 
	  Een 74-jarige vrouw is overleden nadat ze gisteren met haar elektrische fiets was gevallen in Denekamp. De vrouw kwam gisterochtend rond tien voor elf door nog onbekende oorzaak ten val op de Ootmarsumsestraat. Een voorbijganger vond de vrouw buiten bewustzijn, waarna het slachtoffer naar het ziekenhuis werd gebracht. Daar is zij aan haar verwondingen overleden. De politie is op zoek naar getuigen van het ongeval of mensen die haar kort voor het ongeval hebben gezien. Zij worden verzocht om contact op te nemen met de politie via 0900-8844. RTV Oost schreef eerder: Vrouw met traumahelikopter naar ziekenhuis na val van fiets in Denekamp Een vrouw uit Denekamp is met een traumahelikopter naar het ziekenhuis gebracht, nadat ze op de kruising van de Ootmarsumsestraat en de Brinkstraat in Denekamp van haar fiets was gevallen. Meerdere hulpdiensten snelden naar de plek van het ongeluk. Ook Duitse ambulancemedewerkers waren aanwezig om te assisteren.",2017-07-07,,
A76 - Heerlen: Politie zette slachtoffer ongeluk A76 zelf af bij tankstation,"A76 - Heerlen: Politie zette slachtoffer ongeluk A76 zelf af bij tankstation 
	  De politie blijkt het slachtoffer van de dodelijke aanrijding op de A76 in Heerlen afgelopen nacht zelf te hebben afgezet bij het tankstation waar daarna het ongeluk is gebeurd. Het slachtoffer is een 47-jarige man uit Aken. De man liep eerder door Bocholtz. Hij wilde naar huis en kreeg van de agenten een lift aangeboden tot aan de Duitse grens. Ze zetten hem af bij het tankstation. Agenten wezen hem volgens de politie op de parallelweg. Ze zouden hem nog op het hart hebben gedrukt om niet op of langs de snelweg te lopen. Vervolgens vertrok hij ook in de aangewezen richting. Later werd de man geschept door een vrachtauto op de snelweg. Waarom de man toch op de snelweg liep, is onduidelijk. Uit het onderzoek is gebleken dat de vrachtwagenchauffeur niet te hard heeft gereden. http://www.l1.nl/sites/default/files/imagecache/modal/imagenodes/dodea76.jpg",2014-08-21,,
Dodelijk ongeval N302,"Dodelijk ongeval N302 
	  De dijk tussen Enkhuizen en Lelystad is woensdagmorgen urenlang in beide richtingen gesloten geweest vanwege een dodelijk ongeval. Even na acht uur vanochtend reden een personenauto en een bestelbus frontaal op elkaar nabij de Houtribsluizen in Lelystad. De bestuurder van de personenauto, een 36-jarige man uit Hoorn, kwam hierbij om het leven. De bestuurder van de bestelbus is gewond overgebracht naar het Sofia-ziekenhuis in Zwolle.  De dijk is rond twaalf uur weer opengesteld voor het verkeer. De personenauto reed vanuit Lelystad richting Enkhuizen, de bestelbus kwam vanuit Enkhuizen. Over de identiteit van de bestuurder van de bestelbus kon de politie van het korps Flevoland nog niets zeggen. De families van de bestuurders worden in kennis gesteld.  Hoe het ongeval precies is gebeurd, is ook nog niet duidelijk. ,,We zijn nu bezig met een technisch onderzoek en we horen getuigen. Gelukkig zijn er veel getuigen die het ongeval hebben zien gebeuren'', vertelt woordvoerder Ebe van der Land van de politie Flevoland.  De dijk Enkhuizen-Lelystad valt onder het gebied van Flevoland. Agenten van het politiekorps Noord-Holland Noord hielpen vanmorgen bij de urenlange afsluiting van de dijk. 		",2005-11-30,,
Amstelveen: 18-jarige bromfietsster overleden na aanrijding met vrachtauto,"Amstelveen: 18-jarige bromfietsster overleden na aanrijding met vrachtauto 
	  Op maandag 7 juli is rond het middaguur op de Noorddammerweg in Amstelveen een 18-jarige bromfietsster uit Uithoorn om het leven gekomen bij een aanrijding met een vrachtauto. Personeel van de hulpdiensten hebben hun uiterste best gedaan om het leven van het slachtoffer te redden. De reanimatie bleek helaas tevergeefs.  Op dit moment bestaat er enige onduidelijkheid over de exacte toedracht, vermoedelijk is de vrachtwagen tijdens het achteruitrijden in aanrijding gekomen met de bromfietsster. De chauffeur van de vrachtauto is - zoals gebruikelijk bij een ernstige aanrijding - meegenomen voor verhoor naar een politiebureau. Mensen die getuige zijn geweest van de aanrijding en nog niet met de politie hebben gesproken, worden verzocht contact op te nemen met 0900-8844. http://images0.tcdn.nl/incoming/article22826413.ece/BINARY/d/Vrouwgewond.JPGhttp://images0.tcdn.nl/incoming/article22826413.ece/BINARY/d/Vrouwgewond.JPG http://img.kalooga.com/thumb?url=http%3A%2F%2Fstatic-webregio.nl%2Fcontent%2Fimages%2Flarge%2F13200281_635403433109878270.jpg&md5val=22e2b5504f98851594d7b1d6d81bf2f1&key=095f6f831653d92efbccfeee7caf40cd4a9e300b&method=fit&size=1920x1200",2014-07-07,,
Hardinxveld-Giessendam: Jongetje overleden na aanrijding ,"
	  Een 11-jarig jongetje uit Hardinxveld-Giessendam is maandagavond in zijn woonplaats overleden als gevolg van een aanrijding. Dat heeft de politie gemeld. Het jongetje stak de Rivierdijk over en werd aangereden door een 18-jarige automobilist uit Sliedrecht. Het slachtoffertje werd ernstig gewond naar het ziekenhuis gebracht, waar het later op de avond overleed, laat de politie weten. De bestuurder van de auto moest zijn rijbewijs inleveren. Ook is zijn auto in beslag genomen, aldus de politie.  Een 11-jarige jongen uit Hardinxveld-Giessendam is maandagavond ernstig gewond geraakt toen hij door een auto werd geschept. Het ongeval gebeurde op de Rivierdijk, ter hoogte van de Kanaaldijk-Zuid in Hardinxveld Giessendam. Een medisch team is per traumahelikopter naar de plek van het ongeval gekomen om het slachtoffer te reanimeren. Daarna is het kind met een spoedtransport vervoerd naar het Erasmus MC in Rotterdam. Het verkeert in kritieke toestand. De politie doet technisch onderzoek om vast te stellen hoe het ongeval heeft kunnen gebeuren.		",2011-06-06,,
