Titel,Artikel,Datum,Confirmed_slachtoffers,Involved_vehicles
Automobilist rijdt tegen hoekwoning na botsing met scooter,"AVENHORN - In Avenhorn is een auto hard tegen een hoekwoning aangereden  Het ongeval gebeurde rond kwart voor negen aan de straat West 

Voordat de auto hardhandig de woning inreed, botste de wagen al met een scooter  De scooter eindigde meters verderop op de weg en de scooterrijder is met verwondingen naar het ziekenhuis gebracht 

Tekst gaat verder onder de video

 
De hoekwoning heeft flinke schade opgelopen  De muur heeft grote scheuren, een tuinhek is omver gereden en het raam ligt er bij de woning uit  De exacte schade kan pas worden bekeken als de auto is weggesleept  De straat West is afgezet",2019/04/17,0,"[3, 5]"
Wielrenner geschept in Haarlem,"HAARLEM
Een wielrenner en een auto zijn woensdagochtend in botsing gekomen op de kruising Oudeweg - Conradweg in Haarlem  De wielrenner is daarbij op de voorruit van de auto terechtgekomen 

Na de eerste zorg op de plek van het ongeval, is de wielrenner met de ambulancedienst meegegaan voor verdere behandeling  De toedracht van de aanrijding is niet bekend",2019/04/17,0,"[2, 5]"
Auto te water in stadsgracht: 57- jarige bestuurder overleden - RTV Focus Zwolle,"Auto te water in stadsgracht: 57- jarige bestuurder overleden
2 dagen geleden Minder dan een minuut
 Delen FacebookTwitterGoogle+LinkedInDeel via e-mailAfdrukken
 Foto's © Peter Denekamp
Zwolle – Een man 57-jarige man uit Wolvega is woensdagmorgen overleden nadat hij met zijn auto vanaf de rotonde van de Burgemeester Roelenweg met de Schuttevaerkade de gracht in was gereden 

De melding kwam iets na half vijf binnen bij de hulpdiensten  De politiemensen die als eerste ter plaatste waren zijn in de gracht gesprongen  Zij probeerderen de bestuurder uit de nog drijvende auto te bevrijden  Toen de auto naar de bodem van de gracht zonk moesten zij hun reddingspoging afbreken  De agenten zijn vervolgens met spoed naar het politiebureau gebracht om onderkoeling te voorkomen 

tekst gaat verder onder de foto

Eén van de agenten die het water ingesprongen was met aluminium deken om onderkoeling te voorkomen 
Brandweerduikers slaagden er even later in om de man uit de auto te halen  Op het droge hebben medewerkers van de ambulancedienst direct de reanimatie van de drenkeling opgestart  De ter assistentie opgeroepen traumahelikopter vloog een rondje rondom de Peperbus om vervolgens weer retour Groningen te vliegen  Het slachtoffer werd door de ambulancedienst met spoed in kritieke toestand naar het Isala gebracht waar hij later is overleden 

Een berger heeft samen met een duikbedrijf uit Zwartsluis de auto uit de gracht getakeld  De afdeling verkeersongevallenanalyse van de politie heeft ter plaatse onderzoek gedaan naar de oorzaak van het ongeval",2019/04/17,1,[5]
Zwangere vrouw gewond bij ongeval op A4 bij afrit Hoofddorp,"RIJSENHOUT
Twee auto’s zijn dinsdagochtend met elkaar in botsing gekomen op de A4 ter hoogte van afrit Hoofddorp richting Amsterdam  Twee personen, waaronder een zwangere vrouw, raakten gewond 

Het ging om een kop-staartbotsing op de parallelrijbaan, beide auto’s raakten zwaar beschadigd  Twee ambulances en de brandweer werden ingezet bij de hulpverlening  De precieze toedracht van de botsing is niet bekend  Een bergingsdienst heeft de auto’s opgehaald 

De ambulancedienst heeft zich ontfermd over de slachtoffers  De zwangere vrouw is voor controle naar een verloskundige gebracht  De andere bestuurder klaagde over pijn op de borst",2019/04/16,0,"[5, 5]"
Fietsster gewond na aanrijding met auto in Hengelo,"HENGELO - Op de rotonde bij de Europalaan en de Bornsestraat in Hengelo-Noord is dinsdagmiddag een fietsster aangereden door een automobilist  Ze raakte gewond en moest worden behandeld in de ambulance 

De automobilist zag de fietsster totaal over het hoofd en kon een aanrijding niet voorkomen  De fiets raakte zwaar beschadigd  Het verkeer ondervond even hinder van het ongeval",2019/04/16,0,"[2, 5]"
Weer truck van de weg geraakt in ‘Bermuda-driehoek’ van A28 bij Spier,"Op de A28 tussen Spier en Beilen is vannacht weer een vrachtwagen van de weg geraakt  De zoveelste op exact dezelfde plek 


Geen geluk bij berging ongeluk in 'Bermuda-driehoek' A28 bij Spier
Lees verder
Na een periode van relatieve rust was het afgelopen nacht weer raak  Net voorbij de oprit richting Assen reed de bestuurder van een truck met oplegger zijn combinatie het bos in  De chauffeur raakte licht gewond en werd voor de zekerheid per ambulance naar het ziekenhuis in Assen gebracht 

De oorzaak van het ongeval is nog onduidelijk  De vrachtauto ging niet op de kant, maar kwam op de wielen in de strook bos langs de snelweg tot stilstand 

In 2017 vier vrachtwagens op de kant
De plek waar het verkeer als het ware het bos inrijdt, de vluchtstrook breder is dan elders en waar een lichte knik in de weg zit, wordt ook wel eens de Bermuda-driehoek genoemd  Op exact dezelfde plek raakten vaker vrachtauto’s van de weg  Alleen al in 2017 gingen in negen maanden tijd vier trucks op de kant 

Volgens de politie blijkt uit onderzoeken van de Voa (Verkeersongevallenanalyse) niet dat er een rode draad in de oorzaak van de ongevallen zit  Ook Rijkswaterstaat, eigenaar van de snelweg, houdt het op toeval, omdat er geen reden is te denken dat er iets mis is met dit stukje van de A28 

Rijkswaterstaat volgde advies politie niet op
In het verleden heeft de politie al wel eens geopperd bij Rijkswaterstaat om op deze plek een aantal bomen langs de A28 te kappen  Niet dat daarmee ongevallen worden voorkomen, maar de gevolgen zijn dan minder ernstig  Dit advies heeft Rijkswaterstaat tot op heden niet opgevolgd",2019/04/16,0,[12]
Maaltijdbezorger gewond bij flinke klap tegen brievenbus in Haarlem,"HAARLEM
Een maaltijdbezorger is dinsdagavond gewond geraakt bij een botsing tegen een brievenbus in Haarlem-Noord  Het ongeval gebeurde langs het fietspad aan de Rijksstraatweg ter hoogte van de Korteweg 

De jongen kwam na de klap enkele meters op het fietspad tot stilstand  Toegesnelde ambulancemedewerkers hebben het slachtoffer opgevangen  Na de nodige zorg is hij naar het ziekenhuis overgebracht voor verdere behandeling 

De jongen liep bij het ongeval onder meer een open beenwond, gebroken arm en aangezichtsletsel op  De brievenbus is door de klap beschadigd geraakt 

Maaltijdbezorger gewond bij flinke klap tegen brievenbus in Haarlem",2019/04/16,0,[3]
Gewonde na zwaar ongeluk op A13,"DELFT - Op de A13 richting Rotterdam is dinsdagmiddag bij Delft een ongeluk gebeurd  Daarbij raakte een bestuurder gewond  Het ongeluk zorgde voor flinke file: de vertraging bedroeg op het hoogtepunt rond 15 00 uur volgens de ANWB ruim twee uur 
Rond 14 00 uur botsten een auto en een vrachtwagen op elkaar  De inzittende van de auto raakte bekneld en moest door de brandweer worden bevrijd  De gewonde bestuurder is met een ambulance afgevoerd  Een traumahelikopter landde op de snelweg 

Ook de andere kant op was er sprake van vertraging; tussen Den Hoorn en Rijswijk stond tijdens het ongeluk een korte kijkersfile",2019/04/16,0,"[12, 5]"
Fietser gewond bij ongeluk nieuwe tunnel Veenendaal,"Nieuws
Sport

 DINSDAG 16 APRIL 2019, 16 49 UUR 
    
Fietser gewond bij ongeluk nieuwe tunnel Veenendaal
VEENENDAAL - In Veenendaal is vanmiddag een scholier gewond geraakt en naar het ziekenhuis gebracht  Op de kruising van de Voorpoort met de Kazemat werd de fietser aangereden  De fiets van het slachtoffer is doormidden gebroken door de klap 

Omstanders zeggen dat het een gevaarlijk punt is sinds afgelopen weekend autotunnel de Voorpoort open is gegaan  

De oorzaak van het ongeluk wordt onderzocht",2019/04/16,0,"[5, 2]"
Ravage na zwaar ongeluk op N505,"HOOGKARSPEL - Bij een zwaar ongeluk op de N505 bij Hoogkarspel zijn gisteravond rond 22 30 uur twee auto's op elkaar geknald  Volgens een getuige botste een auto met twee inzittenden op een ander voertuig vlakbij het stoplicht 

De bestuurder die in de aangereden auto zat en de twee personen in de andere auto zouden naar het ziekenhuis zijn gebracht  Over de toestand van de slachtoffers is niets bekend 

Op foto's is te zien dat beide auto's zwaarbeschadigd zijn en dat de weg bezaaid lag met brokstukken  De politie deed uitgebreid onderzoek naar het ongeluk en de weg is anderhalf uur afgesloten geweest",2019/04/15,0,"[5, 5, 5]"
Motorrijder gewond na botsing met graafmachine in Putten,"PUTTEN - Een motorrijder is maandagochtend gewond geraakt bij een verkeersongeval in het buitengebied van Putten 
Het slachtoffer kwam in de vroege ochtend in botsing met een graafmachine  Dat gebeurde aan de Meskampersteeg 

De gewonde motorrijder is per ambulance overgebracht naar het ziekenhuis  De exacte toedracht van het ongeval is niet bekend",2019/04/15,0,"[4, 0]"
Auto belandt in sloot: bestuurder op eigen houtje naar ziekenhuis,"ANNA PAULOWNA - Een auto is vanochtend rond 7 15 uur in de sloot belandt aan de Zuiderweg bij Anna Paulowna  Van de bestuurder ontbrak ieder spoor  Later bleek dat de man door een kennis naar het ziekenhuis was gebracht 

Omdat de politie niemand bij de auto te zien was, werd gedacht dat de bestuurder misschien in het water zou liggen  Hierdoor kwam ook de brandweer en werd er zelfs een traumahelikopter ingezet, laat agent Bas Dirkmaat weten op Instagram 

""De bestuurder bleek in het ziekenhuis te liggen, was daar gebracht door een kennis  Overkomt je dit, laat het ons weten zodat we niet massaal uit moeten rukken  Zonde van de inzet en belastinggeld"", aldus de agent  

De auto is inmiddels geborgen",2019/04/15,0,[5]
"Twee gewonden bij ongeluk tussen auto's en vrachtwagen op A16, snelweg weer open","Op de snelweg A16 bij knooppunt Zonzeel is maandagochtend een ernstig ongeluk gebeurd met vijf auto's en een vrachtwagen  Een man en een vrouw in een auto raakten daarbij gewond  De politie heeft de vrachtwagenchauffeur aangehouden  De weg was vanwege het ongeluk uren dicht, maar is sinds halfdrie weer open 

Het ongeluk gebeurde rond kwart over acht  Door nog onbekende oorzaak kwamen de voertuigen met elkaar in botsing  De twee slachtoffers kwamen vast te zitten in hun auto  Meerdere ambulances, brandweerwagens en een traumahelikopter kwamen ter plaatse om eerste hulp te verlenen 

Ziekenhuis
Na ruim een uur hadden de hulpdiensten de man en de vrouw uit hun benarde positie bevrijd  Ze zijn met ambulances naar ziekenhuis in Rotterdam en Breda gebracht 

De Portugese vrachtwagenchauffeur is aangehouden en wordt op het politiebureau verhoord  De politie is op zoek naar dashcambeelden van het moment dat het ongeluk gebeurde  Automobilisten die vanaf de andere rijrichting beelden maken van het ongeluk, werden op de bon geslingerd 

Omleiding
De snelweg richting Rotterdam was dus uren dicht in verband met politie-onderzoek  Ook werd een drone ingezet om overzichtsbeelden te maken 

Verkeer vanuit Breda richting Rotterdam werd omgeleid via Roosendaal (A58 en A17)  Mensen die in de kilometerslange file staan, mogen onder begeleiding omkeren",2019/04/15,0,"[5, 5, 12]"
Kinderen gewond bij aanrijding tussen scooter en fiets in Barendrecht,"Bij aan aanrijding in Barendrecht zijn maandag een man en twee kinderen gewond geraakt  Een scooter met daarop een vader en zijn zoontje reed op de Boerhaavelaan tegen een kind op een fiets 
De vader en het zoontje zijn naar het ziekenhuis gebracht, maar de verwondingen vallen mee, zegt de politie  Hoe het ongeluk in Barendrecht kon gebeuren is nog niet bekend",2019/04/15,0,"[3, 3, 2]"
Tramverkeer Rotterdam-West korte tijd ontregeld na aanrijding,"Op de Schiedamseweg in Rotterdam-West is maandagmiddag een tram in botsing gekomen met een fietser 
De vrouw is gewond naar het ziekenhuis gebracht  Hoe het ongeluk heeft kunnen gebeuren, is niet duidelijk 

Vanwege de aanrijding was het tramverkeer op de lijnen 4, 8, 21 en 24 ontregeld  De haltes Delfshaven, Van Duylstraat, Zeilmakersstraat en Marconiplein waren vervallen  De RET zette pendeltrams in  Het tramverkeer werd kort voor 15:30 uur hervat",2019/04/15,0,"[2, 11]"
Automobilist (30) zwaar mishandeld na botsing op N201,"KORTENHOEF - Een 30-jarige automobilist uit Wijdemeren is gisteravond in Kortenhoef flink toegetakeld  Dat gebeurde in de parkeerhaven langs de Vreelandseweg (N201), waar dader en slachtoffer kort daarvoor tijdens het optrekken waren gebotst 

Het slachtoffer reed vanuit Hilversum over de Vreelandseweg richting de A2  Toen hij bij het kruispunt met de Kortenhoefsedijk voor een verkeerslicht stond te wachten, verscheen er in het voorsorteervak voor afslaand verkeer naast hem een kleine, blauwe auto  

Lees ook: Vrouw in file opzettelijk geramd door verkeershufter: ""Die man is ziek""

Toen het licht groen werd, trokken beide auto's op  De bestuurder van de kleine, blauwe auto sloeg echter niet af, maar reed tegen de verwachting in rechtdoor en botste daarbij op de auto van het latere slachtoffer  Na de botsing stuurde de Wijdemeerder zijn auto een parkeerhaven in, om daar de schade op te nemen en te controleren hoe het met de tegenpartij ging  

Stress
Nog voordat hij uit zijn auto kon stappen, zag hij hoe de tegenpartij - een man van circa 30 á 40 jaar oud - met een zilverkleurig voorwerp in zijn handen op zijn auto kwam afgelopen  De Wijdemeerder rook onraad en wilde wegrijden, maar kreeg door de stress z'n auto niet aan de praat 

Seconden later sloeg de verdachte met het zilverkleurige voorwerp zijn achterruit aan diggelen, om zich vervolgens op de bestuurder te richten  Nadat de Wijdemeerder de nodige klappen had geïncasseerd, lukte het hem zijn auto te starten en weg te rijden  Eenmaal uit het zicht van zijn belager, sloeg hij alarm bij de hulpdiensten  

Ziekenhuis
Over de aard van z'n verwondingen is niets bekend, wel dat z'n letsel zo ernstig is dat hij voor behandeling naar het ziekenhuis is gebracht  Inmiddels heeft hij aangifte gedaan en is de politie een onderzoek gestart waarvoor de hulp van eventuele getuigen wordt ingeroepen  

De verdachte is ongeveer 1,80 meter lang, lichtgetint en heeft haar tot op z'n schouders  Hij reed dus in kleine, blauwe auto, waarvan wordt vermoed dat het om een Citroën Saxo gaat  Door de aanrijding bij het verkeerslicht is de auto aan de linkerachterzijde beschadigd  Volgens de politie zijn er aanwijzingen dat de bestuurder zich ook tegenover andere automobilisten 'verkeersonvriendelijk heeft gedragen'  

Getuigen
Wie getuige is geweest van de mishandeling wordt gevraagd zich te melden bij de politie  Ook informatie over de verdachte of de blauwe auto is welkom, net als eventuele (dashcam)beelden",2019/04/16,0,"[5, 5]"
Bestuurder van brommobiel zwaargewond na botsing met auto in Goirle,"GOIRLE - Bij een ongeluk op de kruising tussen de Turnhoutsebaan en de Rillaersebaan in Goirle is zondagmiddag een bestuurder zwaargewond geraakt  Het slachtoffer zat in een brommobiel die botste met een auto  De bestuurder werd door de klap uit de brommobiel geslingerd  Het ongeluk zorgde voor een grote ravage  De kruising is nog enkele uren dicht 

Het ongeluk gebeurde zondagmiddag rond half vier  Een traumahelikopter landde bij het ongeluk  De trauma-arts ging met het zwaargewonde slachtoffer in de ambulance naar het ziekenhuis in Tilburg  De bestuurder van de andere auto is ook nagekeken door het ambulancepersoneel 

De kruising ligt bezaaid met onderdelen van beide voertuigen  De politie is bezig met een onderzoek  Hoe het ongeluk kon gebeuren, is nog niet duidelijk  De kruising is nog enkele uren afgesloten",2019/04/14,0,"[15, 5]"
"Fietser (56) overleden na aanrijding, bromfietser (24) aangehouden","TILBURG - Een fietser is zaterdagavond overleden na een aanrijding met een bromfietser  Het ongeluk gebeurde om tien over acht op het Postelse Hoefpad in Tilburg 

Hulpdiensten hebben geprobeerd om de man - een 56-jarige Tilburger - te reanimeren  Ook een traumahelikopter was ter plaatse  Maar dat mocht niet baten  De man is ter plekke overleden 

Bromfietser lichtgewond
De man fietste op het fietspad met zijn vrouw  De bromfietser kwam uit tegenovergestelde richting  Hoe ze op elkaar konden botsen, is nog niet duidelijk  De bromfietser raakte lichtgewond  Na onderzoek in het ziekenhuis is de bestuurder van de bromfiets - een 24-jarige Tilburger - aangehouden  Het fietspad werd na het ongeluk lange tijd afgesloten in verband met het onderzoek",2019/04/14,1,"[2, 3]"
