Unnamed: 0,Titel,Artikel,Datum
35,Man (45) komt om het leven bij frontale aanrijding | Blik op nieuws,"Een 45-jarige automobilist uit Rijssen is zondagavond  bij een frontale aanrijding met een personenauto om het leven gekomen. 
    Zondagavond werd omstreeks 19.50 uur een ernstige aanrijding gemeld op de Rijssensestraat in Nijverdal. Het betrof een aanrijding tussen twee autoÃ¢â‚¬â„¢s.
Een 45-jarige automobilist uit Rijssen reed over de Rijssensestraat. Ter hoogte van de Burgemeester H. Boersingel week de man uit voor een rechtsaf slaande automobilist die voor hem reed. Tijdens het uitwijken kwam de man op de tegengestelde rijbaan, waar op dat moment een 58-jarige automobiliste uit Hellendoorn reed. Beide voertuigen kwamen frontaal met elkaar in aanrijding. De 45-jarige automobilist overleed ter plekke aan zijn verwondingen. De 58-jarige automobiliste raakte ernstig gewond en werd met onbekend letsel door een ambulance naar het ziekenhuis overgebracht.
De Rijssensestraat werd tijdelijk voor al het verkeer afgesloten.

De afdeling Verkeersongevallen Analyse van de politie heeft een onderzoek ingesteld.  ",03/07/2014
36,Dode man gevonden in water Barendrecht - RTV Rijnmond,"

						In Barendrecht is zaterdagochtend een dode man gevonden. Hij lag met zijn scootmobiel in het water. Hij bleek al te zijn overleden toen de hulpdiensten aankwamen, meldt de politie.

					 

						De man lag in het water bij het Kooiwalbos, tussen Barendrecht en Rotterdam-Lombardijen. Het gaat om een 61-jarige Rotterdammer.  Het is nog onbekend waardoor hij in het water terecht is gekomen. De politie gaat uit van een ongeluk.",9/7/2016
37,Fietsster (72) overleden na aanrijding in Uithoorn | Blik op nieuws,"Een 72-jarige fietsster is woensdagmiddag rond 13.00 uur overleden tengevolge van het letsel dat zij opliep bij een aanrijding met een automobiliste op de kruising Wiegerbruinlaan en de Achterberglaan in Uithoorn. Dit heeft de politie woensdag bekendgemaakt. 
    De vrouw overleed ter plaatse aan haar verwondingen.  
De precieze toedracht van het ongeval wordt nog onderzocht door specialisten van de Dienst Controle Infrastructuur en Verkeer (DCIV).  
De 44-jarige bestuurster uit Kudelstaart is overgebracht naar een politiebureau voor verhoor. ",20/10/2010
38,Slachtoffer verkeersongeval (23) overleden | politie.nl,"Didam - De 23-jarige Didammer die zaterdagochtend ernstig gewond was geraakt bij een verkeersongeval in zijn woonplaats is overleden. De man bezweek zaterdagavond laat in het ziekenhuis aan zijn verwondingen. De man reed door nog onbekende oorzaak op de Doetinchemseweg tegen een boom.
Passanten troffen de zwaar beschadigde auto zaterdagochtend rond 07.00 uur aan
en waarschuwden de hulpdiensten. Het slachtoffer bleek zeer ernstig gewond en
werd overgebracht naar het UMC Radboud in Nijmegen. De politie doet nog
onderzoek naar de precieze toedracht van het ongeval. Gerelateerde pagina's",07/02/2016
39,Fietser verongelukt in Rozenburg - RTV Rijnmond,"

						De fietser die zaterdag om het leven kwam bij een botsing bij Rozenburg is een 86-jarige inwoner uit die plaats. Dat heeft de politie laten weten. De vrouw werd geraakt toen ze vanuit een zijweg de Noordzeeweg opreed. Volgens de politie overleed het slachtoffer ter plekke aan haar verwondingen. De bestuurder van de bestelbusje bleef ongedeerd.Het ongeval vond plaats ter hoogte van een voorlichtingscentrum van Rijkswaterstaat bij de Maeslantkering. Het is niet bekend hoe het ongeluk heeft kunnen gebeuren. De technische ongevallendienst van de politie is een onderzoek gestart.

					",4/5/2013
40,Scootterrijder overlijdt na eenzijdig ongeval - AT5,"Scootterrijder overlijdt na eenzijdig ongeval - AT5 Scootterrijder overlijdt na eenzijdig ongeval 9 oktober 2012, 20.33 uur 14 oktober 2012, 22.14 uur Een 64-jarige scooterrijder is dinsdagmiddag kort voor vijf uur verongelukt. Het gaat om een eenzijdig ongeval. Op de hoek van de Diepenbrockstraat met de Bernard Zweerskade in Zuid is een stukje van de weg opengebroken vanwege werkzaamheden. De man reed daarom de stoep op en botste waarschijnlijk tegen een stapel tegels op. Hij kwam zo ongelukkig ten val dat hij ter plekke overleed.",?/?/????
41,Man uit Sint Willebrord overlijdt na ongeluk met fiets - Omroep Brabant,"

								Man uit Sint Willebrord overlijdt na ongeluk met fiets

							 

						Een man van 76 uit Sint Willebrord die maandagmiddag werd aangereden in Rucphen, is Ã¢â‚¬â„¢s avonds overleden aan de verwondingen die hij bij het ongeluk opliep. Het slachtoffer zat op een fiets toen een auto hem Ã¢â‚¬â„¢s middags aanreed op de Bosheidestraat.

					 

						Volgens de politie gebeurde dit toen de man onverwacht probeerde over te steken. Hij werd met ernstige hoofdwonden opgenomen in het St. Elisabeth Ziekenhuis in Tilburg. Hier is hij later op de avond bezweken. Politie onderzoekt botsing De politie onderzoekt de botsing. Het ongeluk gebeurde tussen kwart voor drie en drie uur.",9/8/2016
42,Eenzijdig ongeval met dodelijke afloop | Blik op nieuws,"Eenzijdig ongeval met dodelijke afloop Donderdagmorgen is een 71-jarige vrouw uit Aalden om het leven gekomen bij een ongeval op de Schapendijk. 
    Ze reed in haar auto over de genoemde weg en is vermoedelijk tijdens het rijden onwel geworden. Daardoor botste haar auto tegen een boom.  
De vrouw is ter plaatse overleden.  ",29/11/2012
43,Man (31) overlijdt door botsing tegen boom in Schijndel | Overig | bd.nl,"De man kwam om het leven na de botsing tegen een boom. 
									SCHIJNDEL - De 31-jarige Wout Pennings uit Schijndel is in de nacht van zondag op maandag om het leven gekomen toen hij met zijn auto tegen een boom botste lang de Martemanshurk in zijn woonplaats. Het ongeluk gebeurde tegen middernacht. Vermoedelijk raakte de man een paaltje in een wegversmalling, waardoor hij de macht over het stuur verloor en vervolgens tegen een boom botste.  Na de alarmering verschenen zowel brandweer, politie, ambulances als een traumahelikopter ter plekke, maar hulp mocht toen al niet meer baten.  Om onderzoek naar de oorzaak van het ongeval te kunnen uitvoeren, is de weg enige tijd afgesloten geweest voor alle verkeer.",06/03/17
44,Motorrijder overleden bij aanrijding in Lievelde | Achterhoek | tubantia.nl,"Motorrijder overleden bij aanrijding in Lievelde 
									LIEVELDE - Een motorrijder is zaterdagochtend rond 10.00 uur om het leven gekomen bij een ongeval op de Eimersweg in Lievelde. De motorrijder, een 35-jarige man uit Groenlo, kwam in botsing met een auto die geen voorrang zou hebben verleend. Hij is ter plaatse overleden.   De Verkeers Ongevallen Analyse doet een onderzoek naar de toedracht van het ongeval. ",22/02/17
45,Bestuurder overleden na auto te water | Blik op nieuws,"Bestuurder overleden na auto te water In de nacht van zondag op maandag is er op de A12 bij Woerden (richting Utrecht) een dodelijk ongeval gebeurd. Een personenauto raakte van de weg en kwam in een sloot. Het voertuig raakte bijna geheel onder water. 
    Brandweer, politie en ambulance kwamen ter plaatse. De bestuurder, een 43-jarige man uit Almere werd door de brandweer uit zijn auto gehaald. Medisch personeel trachtte het slachtoffer tevergeefs te reanimeren. 
Politie Utrecht doet technisch onderzoek naar het ongeval.  ",15/12/2008
46,Man (38) uit Oldenzaal komt om bij aanrijding Ã¢â‚¬â€� 112Twente.nl,"
112Twente.nl gebruikt cookies om content te personaliseren, om advertenties te tonen en om ons websiteverkeer te analyseren. Informatie over uw gebruik van deze website kan mogelijk gedeeld worden met derde partijen.
 Oldenzaal - Bij een verkeersongeval op de kruising van de Ossenmaatstraat met de Berkstraat is vrijdagochtend 14 april een 38-jarige man uit Oldenzaal om het leven gekomen. De man fietste rond 06.45 uur over de Berktstraat in de richting van de Visschedijkweg. Op de kruising met de Ossenmaatstraat werd hij aangereden door een auto die werd bestuurd door een 22-jarige man uit Oldenzaal. De fietser raakte hierbij zwaar gewond en overleed ter plekke. De automobilist bleef ongedeerd. De verkeersongevallendienst van de politie onderzoekt hoe de aanrijding exact kon gebeuren.  Wekelijkse nieuwsbrief 
Blijf op de hoogte van actualiteiten met onze wekelijkse nieuwsbrief. Elke zaterdag het laatste nieuws in uw e-mail inbox.
 
Altijd het laatste nieuws binnen handbereik via uw Android of iOS apparaat.
 
24 uur per dag nieuws uit de regio! Altijd op de hoogte van het laatste nieuws uit Twente.
 . Alle rechten voorbehouden aan haar rechtmatige eigenaren.  . Softwareontwikkeling nodig? ",?/?/????
47,Scooterrijder overleden na aanrijding Oudenbosch | Overig | bndestem.nl,"Aanrijding aan de Zoutlaan in Oudenbosch. foto Ginopress
	 Scooterrijder overleden na aanrijding Oudenbosch 
									OUDENBOSCH - In Oudenbosch is met verslagenheid gereageerd op het overlijden van een 16-jarige scholier uit die plaats. De eindexamenkandidaat kwam rond 11.00 uur om het leven bij een aanrijding op zijn brommer met een vrachtwagen. Het ongeval gebeurde op de Zoutlaan in Oudenbosch.  Volgens de politie werd de vrachtwagen bestuurd door een 46-jarige man uit de gemeente Moerdijk. De truck was net een wegversmalling gepasseerd toen van links het slachtoffer kwam aanrijden en de fatale botsing volgde, aldus de politie. Op het Prinsentuin College in Oudenbosch is het verdriet groot. Het slachtoffer zat in klas vier van de groenopleiding van de vmbo-school. Hij had volgens directeur Ruud Engelse Ã¢â‚¬â„¢s morgens nog een eindexamen afgelegd. De school overweegt de examens te verzetten.    Ook bij de Oudenbossche voetbalclub VictoriaÃ¢â‚¬â„¢03, waar het slachtoffer jeugdscheidsrechter was, is de klap hard aangekomen, zegt voorzitter Wim de Ridder. ",13/03/17
48,Fietser overleden naar aanrijding met vrachtwagen | Blik op nieuws,"Fietser overleden naar aanrijding met vrachtwagen Op de Dwazziewegen in Roden is dinsdagmiddag een 56-jarige fietser uit Roderwolde om het leven gekomen. Dit maakte de politie Drenthe bekend. 
    De man stak met zijn fiets de weg over en heeft daarbij vermoedelijk een vrachtwagen over het hoofd gezien. Een aanrijding was het gevolg hiervan.  
Ondanks inspanningen van de ambulancedienst bleek de man op de plaats van het ongeval aan zijn verwondingen te zijn overleden.  
De politie heeft registratie gemaakt van het ongeval en zal onderzoek doen naar de precieze toedracht.  ",22/6/2010
49,Motorrijder (34) overlijdt na botsing tegen boom [update] - RTV Drenthe,"

						Een 34-jarige motorrijder uit Niebert is vanavond om het leven gekomen bij een ongeval op de Weperpolder bij Oosterwolde. Door nog onbekende oorzaak reed de man tegen een boom.

					 

						Het ongeluk gebeurde kort voor half tien. Voorbijgangers die het zagen gebeuren, verleenden eerste hulp. Ook kwamen meerdere hulpverleners ter plaatse en werd een traumahelikopter opgeroepen, maar hulp mocht niet meer baten.  De politie onderzoekt hoe het ongeval heeft kunnen gebeuren. De Weperpolder, de N919, was afgesloten.",20/7/2016
50,Dode bij aanrijding met elektriciteitshuisje | Blik op nieuws,"Dode bij aanrijding met elektriciteitshuisje Aan de Noordzeeweg in Rozenburg is woensdagavond een auto tegen een elektriciteitshuisje gebotst. De bestuurder kwam daarbij om het leven. 
    De hulpdiensten werden om 21:53 uur gealarmeerd voor een ongeval met beknelling. Bij aankomst van de hulpdiensten was het slachtoffer al overleden. De auto is zwaar beschadigd. Ook het elektriciteitshuisje raakte beschadigd De weg werd in beide richtingen afgesloten voor het ongevalsonderzoek van de politie.  ",16/8/2012
51,Ongeval met dodelijke afloop A7 Wognum | Blik op nieuws,"Ongeval met dodelijke afloop A7 Wognum Een 22-jarige automobilist uit Zwaag is maandagavond 23 november rond 20.30 uur verongelukt op de A7 bij Wognum. 
    De man raakte op de afrit bij Wognum van de weg en kwam met hoge snelheid tegen een boom terecht. Hij overleefde de klap niet en overleed ter plaatse. Zijn 22-jarige passagier uit Zwaag was goed aanspreekbaar. Hij werd met onbekend letsel overgebracht naar het ziekenhuis.  ",24/11/2009
52,Error | Telegraaf.nl,"De pagina is misschien verwijderd, de naam is gewijzigd of tijdelijk niet beschikbaar. Probeer de zoekbalk hieronder of ga naar onze
                        ",?/?/????
53,Straatweg weer open na dodelijk ongeluk Breukelen | RTV Utrecht,De geborgen brommobiel. Foto: RTV Utrecht / Rob van Dijk De berging. Foto: RTV Utrecht / Rob van Dijk Hulpverlening na het ongeluk. Foto: Petershotnews.nl  - Op de Straatweg in Breukelen is maandagochtend de bestuurder van een 45-kilometerauto verongelukt. Het gaat om een 39-jarige man uit Maarssen.  Vanwege het ongeluk was de weg de hele ochtend in beide richtingen afgesloten. Het slachtoffer kwam frontaal in botsing met een bestelbus met aanhangwagen van een 22-jarige man uit Kamerik.  Op de aanhanger stond een shovel. Beide zijn in de tuin van een woning beland. De bestelbus is geborgen met een grote kraanwagen. Het slachtoffer is rond 10.45 uur uit de brommobiel gehaald.,13/2/2017
54,Gorkums Nieuws | het nieuws op de voet gevolgd," td instagram source: instagram_cache   number of images to display   number of images to display   number of images to display   number of images to display   number of images to display   number of images to display   number of images to display   number of images to display   number of images to display   number of images to display   number of images to display   number of images to display  Gorkums Nieuws volgt het laatste nieuws voor u op de voet. Zonder lastige en bewegende advertenties die u van het nieuws afleiden. En dat alles gratis. Heeft u een bericht, zendt het gerust in. Na controle volgt plaatsing. Twitter houdt u op de hoogte van de laatste berichten. Abonneren op Gorkums Nieuws 

	Gorkums Nieuws gebruikt cookies zodat de website  zo goed mogelijk draait.Lees onze cookieverklaring,

	 Don't miss out. Subscribe today. Write CSS OR LESS and hit save. CTRL + SPACE for auto-complete.",06/06/2019
55,Fietser overlijdt na aanrijding auto | RTV Utrecht," - Bij een ongeluk tussen een auto en een 48-jarige fietser uit Werkhoven, is de fietser overleden. Het ongeluk gebeurde in de woonplaats van het slachtoffer op de parallelrijbaan van de Werkhovenseweg. De politie vermoedt dat de fietser frontaal tegen de auto botste toen hij twee andere fietsers inhaalde. De traumahelikopter is opgeroepen maar kon de fietser niet meer helpen.  De 26-jarige automobilist Uit Amersfoort is volgens procedure meegenomen naar het bureau voor verhoor. De autorijder is volgens de politie enorm geschrokken van het voorval. De politie denkt dat de fietser twee andere fietsers wilde inhalen en daardoor frontaal tegen de auto botste.",20/4/2012
56,"Auto rolt Rijnkade af en belandt in water, man (39) overleden | Arnhem | gelderlander.nl","ARNHEM - Een 39-jarige man die in de nacht van vrijdag op zaterdag met de auto van de Rijnkade af rolde en in de rivier belandde, is overleden. Samen met een vrouw zat hij in de wagen. Hij werd vannachtÃ‚Â in kritieke toestand met de ambulance naar het ziekenhuis gebracht waar hij later is overleden, zo meldt de politie.Ã‚Â  Redactie de Gelderlander Een getuige sloeg rond 01.45 uur groot alarm, toen de geparkeerde auto ineens naar voren begon te rollen. Vervolgens belandde de wagen in de Rijn. Diverse hulpdiensten rukten uit, waaronder een traumaheli. Duikers van de brandweer hebben de man bevrijd en gereanimeerd. De 31-jarige vrouw die met de man in de auto zat, kon zichzelf uit de auto bevrijden.Ã‚Â  De man en vrouw hebben volgens de politie vermoedelijk niet gemerkt dat de auto langzaam vanaf de kaderand rolde.",14/55/????
57,"Error 404 - Helaas, onvindbaar... - Brandweer"," Hotjar Tracking Code for https://www.brandweer.nl/   Start Visual Website Optimizer Asynchronous Code   End Visual Website Optimizer Asynchronous Code  
                                    Kies hier je locatie
                                 
                                    Annuleren
                                 
                                    Opslaan
                                  This should use the HeroMolecule  De pagina bestaat waarschijnlijk niet meer. Je kunt de zoekfunctie rechtsboven gebruiken door op het loepje te klikkenÃ‚Â en zoÃ‚Â de informatie te vinden die je zoekt. Toch niet kunnen vinden? Neem dan contact op met de Brandweer in jouw buurt en stel je vraag metÃ‚Â het contactformulier hiernaast (of hieronder als je deze site bekijkt op je smartphone) 
                                <p class=""resultStats"">{{showresultslabel}}</p>
                             
                            Stel je vraag
                         Niet kunnen vinden wat je zocht? Neem contact met ons op en stel je vraag met dit formulier. Selecteer op de kaartÃ‚Â je waar je je bevindt of voor welke regio de vraag bestemd is. Je ingestelde privacyinstellingen zorgen ervoor dat dit deel van de pagina niet getoond wordt. Zodra je alle cookies accepteert verschijnt deze content vanzelf.  intentionally left empty ",?/?/????
